i.no,Model,Brand,Size,Store SI No,Laptop Serial No,PO Numbers,Warranty End - EOL,Age in Months,Cost Center,Admin,Site,Status,Physical Location,Warranty Start Date,Warranty End Date,Warranty End Qtr,Assigned NTID,Emp ID,Employee Full Name,Employee Type,CC,Assigned Dept,New Hire/Replacement/Loner,Assign Date,Issues with Keyboard and Mouse (Y/N),Docking SI.No (Y/N),Remarks,Age Left in Months,Serial No,Assigned To,Location,Warranty Month
151.0,EliteBook 840,Apple,17 inch,ST4176,6966879086368.0,PO402540,2026-09-09,21.0,CC104,admin1,Delhi,Returned,"91451 Tanner Mills Apt. 413, North Aaron, VA 90351",2023-09-10,2026-09-09,Q3-2026,fwest,EMP3691,Alexandra Garrett,Contract,CC104,Operations,New Hire,2026-05-14,Y,Y,Hear notice represent finish by vote.,15.0,,,,2026-09
152.0,Latitude 5410,Apple,14 inch,ST2101,6423629426626.0,PO869658,2027-03-30,15.0,CC102,admin3,Hyderabad,Active,"2065 Victoria Trace Suite 788, Thomasville, FL 60226",2024-03-30,2027-03-30,Q1-2027,sheilaharper,EMP1694,Erika Reyes,Intern,CC103,HR,Replacement,2026-11-22,Y,Y,Hard create attention mean reduce huge behind let.,21.0,,,,2027-03
153.0,EliteBook 840,Apple,15 inch,ST9939,8784587391653.0,PO300038,2026-05-09,25.0,CC104,admin1,Hyderabad,Expired,"292 Miller Crest, Parkerport, NC 05509",2023-05-10,2026-05-09,Q2-2026,andresyoung,EMP2761,Dr. Lindsey Kim,Full Time,CC101,IT,New Hire,2024-09-13,N,N,Bag kind subject artist.,11.0,,,,2026-05
154.0,ThinkPad T14,Dell,15 inch,ST1089,9205915910012.0,PO123847,2026-10-21,20.0,CC104,admin1,Bangalore,Expired,"4761 Yu Plains Suite 945, Evansview, HI 00623",2023-10-22,2026-10-21,Q4-2026,tony97,EMP1846,Christian Ferguson,Full Time,CC102,IT,Replacement,2023-11-09,Y,Y,Politics subject quite stage country.,16.0,,,,2026-10
155.0,MacBook Pro,Dell,14 inch,ST3269,2676224206719.0,PO302102,2026-12-18,18.0,CC104,admin2,Mumbai,Expired,"265 Hannah Road Suite 010, New Brandiland, MS 02069",2023-12-19,2026-12-18,Q4-2026,nhendrix,EMP1653,Elizabeth Jones MD,Intern,CC103,Finance,Replacement,2026-07-27,N,N,Person rather station area human.,18.0,,,,2026-12
156.0,Latitude 5410,Lenovo,17 inch,ST1331,3900173369836.0,PO839350,2025-11-07,31.0,CC101,admin3,Bangalore,Assigned,"964 April Haven, Debrafurt, HI 86030",2022-11-08,2025-11-07,Q4-2025,ricardo38,EMP3037,Adam Conner,Intern,CC103,Finance,New Hire,2024-10-18,Y,N,Tough run human cup camera energy decision share.,5.0,,,,2025-11
157.0,MacBook Pro,Dell,13 inch,ST1032,4816442949731.0,PO104749,2025-12-20,30.0,CC102,admin2,Bangalore,Expired,"26190 Carter Plains Suite 136, Hawkinsstad, WA 35798",2022-12-21,2025-12-20,Q4-2025,bakersue,EMP5825,Pamela Gaines,Full Time,CC104,IT,Replacement,2025-06-28,Y,N,Low heart down deep college.,6.0,,,,2025-12
158.0,Latitude 5410,HP,17 inch,ST6889,6374250607628.0,PO647392,2026-05-30,25.0,CC101,admin3,Hyderabad,Expired,"15429 Christina Ports, Joanfort, KS 31551",2023-05-31,2026-05-30,Q2-2026,marybrewer,EMP3772,Laura Russell PhD,Contract,CC103,Finance,Replacement,2024-03-23,N,Y,Want activity pretty truth.,11.0,,,,2026-05
159.0,EliteBook 840,Lenovo,17 inch,ST9637,9661368034949.0,PO956579,2026-03-07,27.0,CC101,admin1,Hyderabad,Assigned,"29571 Phillips Mill Apt. 169, Matthewville, WV 05049",2023-03-08,2026-03-07,Q1-2026,upollard,EMP9862,Donald Rodriguez,Full Time,CC101,IT,Replacement,2025-09-23,Y,Y,Lose through against toward information.,9.0,,,,2026-03
160.0,EliteBook 840,Apple,15 inch,ST1454,8554586398287.0,PO659575,2027-02-25,16.0,CC101,admin3,Delhi,Assigned,"18747 Harris Valleys, Bakerbury, AZ 43527",2024-02-26,2027-02-25,Q1-2027,rmiller,EMP6328,Samuel Mills,Intern,CC102,Operations,Replacement,2025-12-31,N,Y,Happy story become goal maybe.,20.0,,,,2027-02
161.0,EliteBook 840,Dell,14 inch,ST7708,3233800772731.0,PO330969,2026-07-02,23.0,CC101,admin1,Delhi,Returned,"73701 Frank Oval Suite 969, Drakefort, IN 59705",2023-07-03,2026-07-02,Q3-2026,heidihendrix,EMP1704,Richard Williams,Full Time,CC104,Operations,Loner,2024-02-24,N,Y,Carry care your painting meet shake impact list.,13.0,,,,2026-07
162.0,MacBook Pro,Apple,13 inch,ST2099,694217702866.0,PO373235,2026-06-06,24.0,CC101,admin2,Delhi,Returned,"19790 Burns Squares Suite 377, Johnberg, CA 25222",2023-06-07,2026-06-06,Q2-2026,woodardlauren,EMP6479,David Boyd,Full Time,CC102,Finance,Replacement,2024-05-15,N,Y,Throw some nice learn officer resource campaign.,12.0,,,,2026-06
163.0,Latitude 5410,Lenovo,15 inch,ST5315,835948318166.0,PO500944,2027-05-27,13.0,CC101,admin2,Hyderabad,Expired,"46145 Alexandra Throughway Suite 551, East Jamesfort, WV 12686",2024-05-27,2027-05-27,Q2-2027,jessicahowell,EMP2529,Ronald Snyder,Full Time,CC103,Operations,Replacement,2027-04-28,Y,Y,Few he sure ask choose yard attack.,23.0,,,,2027-05
164.0,ThinkPad T14,HP,17 inch,ST1888,9665982224151.0,PO717151,2027-03-10,15.0,CC104,admin2,Hyderabad,Assigned,"553 Sandra Pass Suite 094, Port Kaylahaven, VT 46253",2024-03-10,2027-03-10,Q1-2027,eholmes,EMP1416,Peter Walker,Full Time,CC104,Finance,Replacement,2024-04-16,N,Y,Morning choice trade movie could power close.,21.0,,,,2027-03
165.0,EliteBook 840,HP,16 inch,ST6702,4479048885324.0,PO952503,2025-09-16,33.0,CC102,admin1,Hyderabad,Active,"06319 Ross Underpass Apt. 598, Clarkview, NE 33793",2022-09-17,2025-09-16,Q3-2025,justin60,EMP5638,Jamie Aguirre,Full Time,CC101,HR,New Hire,2024-08-20,Y,Y,Bag wonder talk kid wall blood memory.,3.0,,,,2025-09
166.0,MacBook Pro,Lenovo,14 inch,ST5179,4971420315530.0,PO496582,2027-02-26,16.0,CC103,admin1,Mumbai,Expired,"6865 Sarah Spring Suite 877, North Adamchester, NJ 04239",2024-02-27,2027-02-26,Q1-2027,greenevirginia,EMP9291,Chad Thomas,Full Time,CC104,Operations,New Hire,2025-07-23,N,N,Fire choice type mind drop student standard before.,20.0,,,,2027-02
167.0,MacBook Pro,Apple,15 inch,ST9341,5393681855560.0,PO677204,2026-01-28,29.0,CC104,admin3,Bangalore,Assigned,"492 Shaw Key, South Janet, MS 60706",2023-01-29,2026-01-28,Q1-2026,sawyersarah,EMP4257,Ashley Palmer,Contract,CC103,HR,Loner,2024-10-05,Y,N,Down child impact color when.,7.0,,,,2026-01
168.0,EliteBook 840,HP,14 inch,ST9996,5041355609277.0,PO184220,2025-06-28,36.0,CC102,admin3,Hyderabad,Returned,"2993 Karen Garden, West Melissa, SC 85612",2022-06-29,2025-06-28,Q2-2025,annaprice,EMP7535,Tyler Watson,Full Time,CC103,IT,Loner,2023-12-12,Y,N,Agency serve TV argue yourself give.,0.0,,,,2025-06
169.0,EliteBook 840,Apple,13 inch,ST7108,8547429200632.0,PO245528,2026-05-09,25.0,CC104,admin1,Hyderabad,Returned,"302 Stephen Stravenue Apt. 905, Sharonfurt, MD 02543",2023-05-10,2026-05-09,Q2-2026,michaelnoble,EMP4300,Brooke Bailey,Full Time,CC102,HR,Loner,2024-03-26,N,N,Whole forward meeting likely wonder apply buy however.,11.0,,,,2026-05
170.0,MacBook Pro,Apple,14 inch,ST8150,3405334379643.0,PO921573,2025-10-03,32.0,CC103,admin2,Bangalore,Returned,"16520 Jensen Mountains Apt. 749, Smithmouth, MD 81658",2022-10-04,2025-10-03,Q4-2025,patrick24,EMP2660,Lindsey Long,Intern,CC104,IT,New Hire,2025-02-14,N,N,Little technology owner least.,4.0,,,,2025-10
171.0,EliteBook 840,Apple,17 inch,ST8315,3081955669228.0,PO289009,2025-08-22,34.0,CC103,admin3,Mumbai,Expired,"37567 Woods Course, Port Amanda, WI 51292",2022-08-23,2025-08-22,Q3-2025,wanda26,EMP8661,Joseph Brown,Contract,CC102,Operations,Replacement,2024-08-11,Y,Y,Every method bill.,2.0,,,,2025-08
172.0,MacBook Pro,Lenovo,13 inch,ST9280,8986573616607.0,PO472979,2026-11-23,19.0,CC103,admin1,Delhi,Assigned,"Unit 8040 Box 2666, DPO AP 58946",2023-11-24,2026-11-23,Q4-2026,parkerlisa,EMP9385,Karina Kramer,Contract,CC104,IT,New Hire,2024-12-05,Y,Y,Trial enjoy full report.,17.0,,,,2026-11
173.0,Latitude 5410,Apple,14 inch,ST7787,7986826806411.0,PO209586,2026-11-12,19.0,CC104,admin1,Mumbai,Expired,"95428 Davenport Squares, Hansonshire, WI 47369",2023-11-13,2026-11-12,Q4-2026,denise28,EMP9012,Elizabeth Williams,Contract,CC102,IT,New Hire,2024-09-14,Y,Y,Structure whose mother fly.,17.0,,,,2026-11
174.0,EliteBook 840,Apple,14 inch,ST7439,129929453596.0,PO745104,2026-12-14,18.0,CC103,admin3,Mumbai,Returned,"1791 Deanna Vista, East Christopher, HI 05676",2023-12-15,2026-12-14,Q4-2026,helen29,EMP3877,Pamela Proctor,Intern,CC101,Operations,Loner,2026-09-01,N,Y,Money before nation image field nor majority.,18.0,,,,2026-12
175.0,ThinkPad T14,Apple,15 inch,ST1205,7454606795724.0,PO314698,2027-01-25,17.0,CC101,admin3,Bangalore,Assigned,"022 Mills Canyon Suite 156, Port Emilystad, IL 20476",2024-01-26,2027-01-25,Q1-2027,karen94,EMP1113,Ann Reed,Intern,CC102,IT,New Hire,2026-11-24,N,Y,Apply pressure however member fill result style.,19.0,,,,2027-01
176.0,EliteBook 840,HP,14 inch,ST1891,5555398846242.0,PO610231,2027-02-22,16.0,CC102,admin3,Delhi,Expired,"369 Caleb Well Apt. 614, Torreston, AR 71228",2024-02-23,2027-02-22,Q1-2027,bakercarlos,EMP1706,Aaron Bell,Contract,CC103,Finance,New Hire,2026-02-24,N,Y,Itself evidence opportunity kid.,20.0,,,,2027-02
177.0,Latitude 5410,HP,13 inch,ST1418,3174865476359.0,PO357206,2026-06-28,24.0,CC101,admin2,Bangalore,Active,"4207 Zachary Views Apt. 257, Murillomouth, MN 67749",2023-06-29,2026-06-28,Q2-2026,laurie27,EMP7810,Paul Wilson,Contract,CC104,Operations,Loner,2025-12-01,N,Y,Everyone like night interest only.,12.0,,,,2026-06
178.0,Latitude 5410,Lenovo,17 inch,ST7381,1251516217553.0,PO235881,2026-11-29,19.0,CC104,admin1,Delhi,Active,"418 Bryant Rue Apt. 812, South Seanside, NV 96035",2023-11-30,2026-11-29,Q4-2026,ashley29,EMP6502,Dwayne Mitchell,Contract,CC104,Operations,Replacement,2024-08-31,N,Y,Window hot building side tonight.,17.0,,,,2026-11
179.0,EliteBook 840,Apple,13 inch,ST1785,1260173283009.0,PO768908,2025-12-21,30.0,CC104,admin3,Delhi,Expired,"3196 Oconnor Lake Suite 088, South James, ME 01740",2022-12-22,2025-12-21,Q4-2025,jesseguzman,EMP9839,Michael Phillips,Intern,CC103,HR,Replacement,2024-05-24,Y,Y,Hair seat coach protect card finish nearly future.,6.0,,,,2025-12
180.0,EliteBook 840,Apple,17 inch,ST8945,6271688279741.0,PO366148,2025-12-21,30.0,CC102,admin2,Mumbai,Expired,"649 Grant Street Suite 385, Johnsonview, MI 96362",2022-12-22,2025-12-21,Q4-2025,ifreeman,EMP9220,Daniel Collier,Full Time,CC102,Finance,Loner,2024-11-22,Y,N,Practice alone tend live civil understand.,6.0,,,,2025-12
181.0,Latitude 5410,Dell,17 inch,ST8055,8358472575963.0,PO127203,2026-03-05,27.0,CC101,admin2,Hyderabad,Expired,"PSC 7038, Box 1723, APO AA 47655",2023-03-06,2026-03-05,Q1-2026,colebrenda,EMP5776,Megan Burns,Intern,CC101,Operations,Replacement,2025-02-09,Y,Y,Should beyond section person thousand.,9.0,,,,2026-03
182.0,ThinkPad T14,Dell,13 inch,ST6391,5516384564588.0,PO339539,2027-06-10,12.0,CC104,admin1,Mumbai,Expired,"18303 Thompson Station, Clarkmouth, AK 08822",2024-06-10,2027-06-10,Q2-2027,justinortiz,EMP4810,Derek Berry,Full Time,CC101,Finance,Replacement,2025-07-17,N,Y,Over ten eight impact.,24.0,,,,2027-06
183.0,EliteBook 840,Apple,14 inch,ST5669,5588726269666.0,PO619401,2025-10-11,32.0,CC104,admin1,Bangalore,Active,"80272 Burton Island, South Michaelhaven, RI 89096",2022-10-12,2025-10-11,Q4-2025,istrickland,EMP9162,Richard Stevens,Intern,CC104,IT,Replacement,2024-06-02,Y,N,Go pressure perhaps service story factor.,4.0,,,,2025-10
184.0,ThinkPad T14,Lenovo,16 inch,ST2728,583344962741.0,PO370374,2026-04-14,26.0,CC102,admin2,Delhi,Expired,"8768 Vincent Point, West Rebeccaton, HI 87342",2023-04-15,2026-04-14,Q2-2026,rachelwilliams,EMP9214,Jacqueline Hodge,Full Time,CC103,IT,Replacement,2024-08-27,Y,Y,Recently whose nature reach.,10.0,,,,2026-04
185.0,ThinkPad T14,HP,16 inch,ST6729,2188876037714.0,PO334247,2027-06-21,12.0,CC103,admin2,Delhi,Active,"USNV Holmes, FPO AP 19646",2024-06-21,2027-06-21,Q2-2027,pottercharles,EMP1960,Janice Lopez,Full Time,CC104,HR,Replacement,2027-05-26,Y,N,Sure financial win daughter.,24.0,,,,2027-06
186.0,ThinkPad T14,Apple,16 inch,ST3468,3779086716996.0,PO183488,2027-03-03,15.0,CC102,admin2,Mumbai,Active,"27727 Eric Shoals Suite 290, West Shirley, MT 03603",2024-03-03,2027-03-03,Q1-2027,davisalexandria,EMP3951,Cynthia Jacobs MD,Full Time,CC104,Finance,Replacement,2025-11-30,Y,N,Former field article yourself entire whole.,21.0,,,,2027-03
187.0,EliteBook 840,HP,17 inch,ST8470,3072577207073.0,PO150521,2026-05-19,25.0,CC101,admin3,Mumbai,Expired,"3433 Palmer Cape, Millermouth, IA 33120",2023-05-20,2026-05-19,Q2-2026,mariapeterson,EMP9149,Jeremy Garcia,Intern,CC102,Operations,Replacement,2024-10-17,Y,Y,Him along describe yeah mother.,11.0,,,,2026-05
188.0,Latitude 5410,HP,13 inch,ST9307,4210988777764.0,PO363246,2027-02-21,16.0,CC102,admin1,Hyderabad,Expired,"361 Moore Run Suite 342, Murphyshire, HI 17671",2024-02-22,2027-02-21,Q1-2027,traci07,EMP9051,Walter Morrow,Contract,CC103,IT,Replacement,2024-05-21,N,N,North any school table condition.,20.0,,,,2027-02
189.0,ThinkPad T14,HP,16 inch,ST2333,5564670073719.0,PO464188,2025-11-07,31.0,CC101,admin1,Mumbai,Returned,"168 Sue Overpass Suite 893, Daniellehaven, GA 79185",2022-11-08,2025-11-07,Q4-2025,jacquelinelopez,EMP7892,Susan Reyes,Full Time,CC102,HR,Loner,2023-10-10,Y,N,Next brother political staff politics investment.,5.0,,,,2025-11
190.0,ThinkPad T14,Lenovo,13 inch,ST8904,9429348382837.0,PO968481,2027-02-10,16.0,CC104,admin1,Mumbai,Expired,"395 Knight Mews Suite 008, Hernandezport, IN 29043",2024-02-11,2027-02-10,Q1-2027,xharris,EMP6969,Mindy Peterson,Contract,CC101,Finance,Replacement,2025-12-26,Y,N,Example push respond sign should.,20.0,,,,2027-02
191.0,Latitude 5410,Dell,16 inch,ST7584,6551790766163.0,PO637224,2026-05-07,25.0,CC103,admin1,Bangalore,Assigned,"221 Francisco Drive, Port Sheri, PA 85975",2023-05-08,2026-05-07,Q2-2026,prodriguez,EMP7828,Mr. Jeremy Warner,Full Time,CC102,Operations,Loner,2023-12-02,Y,Y,Style act until issue event according.,11.0,,,,2026-05
192.0,Latitude 5410,Apple,13 inch,ST8221,5143906063412.0,PO722097,2027-03-26,15.0,CC104,admin1,Delhi,Assigned,"30334 Johnston Wall, East Spencer, ID 81410",2024-03-26,2027-03-26,Q1-2027,brogers,EMP2672,Mr. John Williams,Contract,CC104,HR,New Hire,2026-01-04,Y,Y,Environmental true no security type over.,21.0,,,,2027-03
193.0,EliteBook 840,HP,17 inch,ST9862,2342548065560.0,PO603538,2026-09-29,21.0,CC104,admin2,Delhi,Active,"943 Johnson Pines, Carmenborough, FL 69321",2023-09-30,2026-09-29,Q3-2026,philipthomas,EMP1320,William Pace,Full Time,CC101,Operations,Replacement,2025-09-05,N,N,Suddenly need wait require challenge while.,15.0,,,,2026-09
194.0,Latitude 5410,Dell,16 inch,ST8047,831133257906.0,PO843160,2025-09-05,33.0,CC102,admin3,Hyderabad,Returned,"74451 Jaclyn Tunnel Apt. 153, Lisafort, DC 73662",2022-09-06,2025-09-05,Q3-2025,brian65,EMP1350,Howard White,Intern,CC102,Finance,New Hire,2023-07-22,Y,N,Network consumer opportunity group individual kid piece bill.,3.0,,,,2025-09
195.0,EliteBook 840,Apple,15 inch,ST3641,4225947729357.0,PO379008,2025-11-13,31.0,CC103,admin2,Delhi,Assigned,"9295 Ramirez Spur, Port Scott, TX 56076",2022-11-14,2025-11-13,Q4-2025,karen45,EMP7474,Julie Hoffman,Contract,CC104,Finance,New Hire,2025-09-04,N,Y,President south next standard south really meet painting.,5.0,,,,2025-11
196.0,ThinkPad T14,Dell,15 inch,ST7476,7163921192919.0,PO210998,2026-12-10,18.0,CC103,admin3,Delhi,Active,"7460 Sutton Estates, New Anthony, AK 85911",2023-12-11,2026-12-10,Q4-2026,allisoncaroline,EMP8258,Laura Maldonado,Contract,CC102,Finance,Loner,2026-05-10,Y,Y,Less able result gas detail theory hundred.,18.0,,,,2026-12
197.0,MacBook Pro,Dell,15 inch,ST1950,8436686983061.0,PO831658,2025-07-14,35.0,CC103,admin3,Delhi,Assigned,"84451 Perez Isle Apt. 518, Port Sabrina, RI 87680",2022-07-15,2025-07-14,Q3-2025,qburke,EMP4499,Erica Clark,Contract,CC103,IT,New Hire,2023-12-29,Y,Y,Skin new successful.,1.0,,,,2025-07
198.0,ThinkPad T14,Apple,16 inch,ST4352,6401927553534.0,PO215512,2027-04-24,14.0,CC103,admin2,Bangalore,Active,"70241 Angela Coves Apt. 536, Port Jonathanville, WA 68499",2024-04-24,2027-04-24,Q2-2027,jlopez,EMP8474,Thomas Duke,Full Time,CC102,HR,New Hire,2026-01-12,N,Y,Event current the person total buy interesting goal.,22.0,,,,2027-04
199.0,MacBook Pro,Lenovo,15 inch,ST4885,540592667101.0,PO257113,2026-06-01,24.0,CC103,admin1,Bangalore,Active,"USNV Richmond, FPO AE 55054",2023-06-02,2026-06-01,Q2-2026,cody68,EMP3626,Claudia Russo,Contract,CC101,HR,Replacement,2025-12-23,N,N,Yard quite town trouble.,12.0,,,,2026-06
200.0,ThinkPad T14,Lenovo,16 inch,ST2478,8725474177516.0,PO990251,2027-03-17,15.0,CC102,admin1,Mumbai,Active,"6803 Gregory Plains, Rollinshaven, NV 30762",2024-03-17,2027-03-17,Q1-2027,zweber,EMP6814,Jamie Parker,Contract,CC102,HR,Replacement,2026-02-25,Y,Y,Vote great grow guy late compare here.,21.0,,,,2027-03
201.0,Latitude 5410,HP,13 inch,ST5282,4156065200513.0,PO149766,2026-02-24,28.0,CC104,admin2,Delhi,Returned,"3046 Sullivan Alley, Schroederfurt, MT 44808",2023-02-25,2026-02-24,Q1-2026,mcneilkaren,EMP2421,Theodore Crane,Full Time,CC103,HR,Replacement,2025-05-20,Y,Y,Management or successful southern traditional.,8.0,,,,2026-02
202.0,ThinkPad T14,Lenovo,15 inch,ST2020,3305424280661.0,PO427645,2025-11-26,31.0,CC103,admin1,Mumbai,Returned,"7553 Thomas Burgs Suite 988, Arnoldmouth, NM 21306",2022-11-27,2025-11-26,Q4-2025,daniel09,EMP4963,Donald Willis,Full Time,CC104,Operations,Loner,2025-04-12,N,N,Along common movement cut Mr customer establish.,5.0,,,,2025-11
203.0,Latitude 5410,Dell,13 inch,ST6203,409319605201.0,PO338639,2026-03-13,27.0,CC103,admin3,Hyderabad,Returned,"245 Simmons Unions Suite 106, Aprilstad, NJ 73522",2023-03-14,2026-03-13,Q1-2026,johnsonamanda,EMP1903,Marie Dodson,Full Time,CC102,HR,Loner,2025-05-19,Y,N,Actually themselves above law it.,9.0,,,,2026-03
204.0,MacBook Pro,Apple,17 inch,ST2018,7029237657231.0,PO202502,2026-02-15,28.0,CC103,admin1,Mumbai,Active,"04881 Deanna Field, New Cynthiaton, WA 41913",2023-02-16,2026-02-15,Q1-2026,etaylor,EMP9672,Alex White,Intern,CC102,HR,Replacement,2023-03-25,N,N,Concern direction friend able.,8.0,,,,2026-02
205.0,ThinkPad T14,Apple,16 inch,ST4598,3225004532570.0,PO218502,2026-03-21,27.0,CC102,admin2,Bangalore,Active,"764 Dyer Glen Suite 932, Port Danielmouth, LA 25150",2023-03-22,2026-03-21,Q1-2026,jasonyoung,EMP7463,Tamara Flores,Intern,CC102,Operations,Loner,2023-04-12,N,Y,Various heavy little take give Mr.,9.0,,,,2026-03
206.0,ThinkPad T14,Apple,14 inch,ST1737,7811932242740.0,PO955273,2026-03-20,27.0,CC104,admin3,Mumbai,Expired,"06763 Charles Pike Apt. 389, Veronicamouth, NY 49950",2023-03-21,2026-03-20,Q1-2026,davidrobbins,EMP6646,Collin Bond,Full Time,CC102,Finance,New Hire,2025-08-17,N,N,Rich adult end upon most along score.,9.0,,,,2026-03
207.0,Latitude 5410,Dell,14 inch,ST8068,361319272503.0,PO872788,2027-01-10,17.0,CC104,admin2,Mumbai,Expired,"49663 Kemp Circles, Jasonhaven, AL 72647",2024-01-11,2027-01-10,Q1-2027,kreynolds,EMP5334,Mrs. Alexis Delgado,Intern,CC103,Finance,New Hire,2025-12-20,Y,N,Machine interest late effort.,19.0,,,,2027-01
208.0,EliteBook 840,Lenovo,17 inch,ST4616,4756697936882.0,PO139695,2026-12-13,18.0,CC101,admin2,Bangalore,Assigned,"15549 Brady Plains, Lake Terri, MT 57449",2023-12-14,2026-12-13,Q4-2026,marygill,EMP3100,Lauren Johnson,Contract,CC102,HR,Replacement,2026-11-13,Y,N,Future travel cold doctor state low while.,18.0,,,,2026-12
209.0,MacBook Pro,Dell,17 inch,ST7016,2467667414263.0,PO901627,2026-07-27,23.0,CC101,admin3,Mumbai,Expired,"428 Ana Grove, Powersview, DC 23979",2023-07-28,2026-07-27,Q3-2026,travisanderson,EMP3682,John Howard,Contract,CC104,Finance,Loner,2023-12-08,Y,N,Song fill nation current trip particularly.,13.0,,,,2026-07
210.0,MacBook Pro,HP,13 inch,ST2396,3361345562194.0,PO385563,2027-03-30,15.0,CC102,admin2,Delhi,Active,"1879 Ali Oval, Douglasfort, MD 69777",2024-03-30,2027-03-30,Q1-2027,justinwilson,EMP6051,Deborah Cortez,Contract,CC102,HR,New Hire,2024-04-20,Y,Y,Whether forward by into station.,21.0,,,,2027-03
211.0,EliteBook 840,Dell,17 inch,ST8471,2545004769587.0,PO358139,2026-05-16,25.0,CC101,admin1,Delhi,Active,"8588 Gomez Islands, South Katie, WI 07022",2023-05-17,2026-05-16,Q2-2026,ethan82,EMP5980,Melissa Diaz,Intern,CC104,Operations,Replacement,2024-05-05,N,Y,Official sing anyone over matter.,11.0,,,,2026-05
212.0,ThinkPad T14,Apple,16 inch,ST4763,8830614801340.0,PO173369,2026-03-01,27.0,CC102,admin3,Bangalore,Expired,"26655 Benjamin Islands Apt. 170, Dawnport, MT 56964",2023-03-02,2026-03-01,Q1-2026,joshuapeterson,EMP9346,Sarah Kramer,Full Time,CC103,Operations,Replacement,2024-11-21,Y,Y,Official day especially lay president agreement exist.,9.0,,,,2026-03
213.0,MacBook Pro,HP,16 inch,ST7157,7468003867946.0,PO471639,2026-09-16,21.0,CC102,admin3,Mumbai,Active,"2253 Gates Key Suite 454, Andrewview, CT 95761",2023-09-17,2026-09-16,Q3-2026,deannawaters,EMP8640,Richard Thompson,Intern,CC102,Finance,New Hire,2026-05-01,Y,Y,Assume help fund instead special let.,15.0,,,,2026-09
214.0,Latitude 5410,Apple,15 inch,ST3513,8111391383305.0,PO919852,2026-07-15,23.0,CC102,admin1,Hyderabad,Assigned,"03118 Hale Square Apt. 106, Josephshire, AK 47817",2023-07-16,2026-07-15,Q3-2026,lhartman,EMP1737,Tracy Jackson,Contract,CC101,IT,Loner,2025-02-13,N,Y,Serve law medical start serious easy.,13.0,,,,2026-07
215.0,MacBook Pro,Apple,13 inch,ST2685,7601533227020.0,PO947081,2026-09-20,21.0,CC104,admin1,Mumbai,Assigned,"64397 Reed Burg, West Marcusshire, NV 84948",2023-09-21,2026-09-20,Q3-2026,growland,EMP5398,Benjamin Lewis,Intern,CC103,IT,Loner,2024-12-12,Y,Y,Short ball statement raise place season.,15.0,,,,2026-09
216.0,ThinkPad T14,Lenovo,13 inch,ST4678,4446381646912.0,PO816134,2027-04-13,14.0,CC103,admin2,Hyderabad,Returned,"33133 Denise Tunnel, Veronicaview, TX 69875",2024-04-13,2027-04-13,Q2-2027,twright,EMP5562,Amy Leon,Full Time,CC103,HR,Replacement,2024-06-01,Y,Y,All area film food kind education.,22.0,,,,2027-04
217.0,EliteBook 840,Dell,16 inch,ST1876,4007033168178.0,PO501183,2026-12-03,18.0,CC104,admin1,Bangalore,Expired,"USNS Paul, FPO AP 44273",2023-12-04,2026-12-03,Q4-2026,sampsonpaul,EMP3917,James Hatfield,Full Time,CC101,HR,New Hire,2024-04-07,Y,N,Business wonder coach simply.,18.0,,,,2026-12
218.0,MacBook Pro,HP,16 inch,ST6381,6385425104064.0,PO484962,2026-08-14,22.0,CC101,admin2,Delhi,Returned,"460 Samantha Grove Apt. 064, West Robert, HI 73016",2023-08-15,2026-08-14,Q3-2026,dcabrera,EMP1721,Mr. Anthony Williams,Intern,CC103,HR,Replacement,2023-10-08,N,N,Two her health.,14.0,,,,2026-08
219.0,ThinkPad T14,Dell,17 inch,ST4098,9061623891582.0,PO774931,2026-05-04,25.0,CC103,admin1,Bangalore,Returned,"15714 Hawkins Extensions, Shortport, NH 24761",2023-05-05,2026-05-04,Q2-2026,johnali,EMP3216,Derek Byrd,Full Time,CC103,IT,Loner,2023-08-19,Y,Y,Born guess painting field need model degree.,11.0,,,,2026-05
220.0,EliteBook 840,Lenovo,14 inch,ST2883,4617162078783.0,PO497141,2026-07-24,23.0,CC103,admin3,Bangalore,Expired,"197 Jason Parkways, New Amanda, AL 66580",2023-07-25,2026-07-24,Q3-2026,jennifer67,EMP4106,Holly White,Full Time,CC101,HR,New Hire,2026-02-20,Y,Y,Music realize argue time type seem support.,13.0,,,,2026-07
221.0,MacBook Pro,Dell,16 inch,ST2595,4680737958797.0,PO269740,2025-10-19,32.0,CC103,admin3,Hyderabad,Expired,"2002 Jesse Station, Nealview, HI 84808",2022-10-20,2025-10-19,Q4-2025,zmccarty,EMP5194,Robert Walker,Intern,CC101,HR,Replacement,2024-11-23,Y,Y,Team quality night need letter.,4.0,,,,2025-10
222.0,ThinkPad T14,Apple,16 inch,ST1932,4400554068048.0,PO893133,2025-10-15,32.0,CC103,admin2,Mumbai,Active,"5699 Watson Branch Suite 909, Jamieside, OR 19015",2022-10-16,2025-10-15,Q4-2025,morrowrachel,EMP7496,James Harris,Full Time,CC104,HR,Replacement,2024-01-08,N,Y,Whole modern budget know.,4.0,,,,2025-10
